sample_fraction_coded,sample_class2,n-C14:0,i-C15:0,C16:1 w7 (trans),i-C16:0,C16:1 w7 (cis),n-C16:0,10_14_DiMe_C17,C17:1 w8 (trans),i-C17:0,ai-C17:0,i-C18:0,ai-C18:0,C18:1 w7,ai-C15:0,C16:1 w5,C18:2_2,n-C18:0,n-C20:0,n-C22:0,n-C24:0,n-C12:0,C18:2_1,C18:1_1,C18:1 w9,C16-diacid,C22-diacid,n-C26:0,C17:1 w8 (cis),m-C18:0_2,n-C15:0,n-C21:0,m-C16:0_1,C19:1_3,C20:1_1,m-C23:0-C2,C18-diacid,n-C23:0,C20-diacid,n-C25:0,m-C15:0_1,diacid_unknown7
L300-20190804-F-01-P2,surface soil,0.19402355701141483,0.06518725593106181,NA,0.1299281178928948,0.16408501400120531,0.14921725100021388,NA,NA,0.09460173717130596,0.04663422543971524,NA,NA,0.08982333501236868,0.025451091040636496,0.033428091248434516,NA,0.12844565041419112,0.1193207004726018,0.10717958290625786,0.10265987728361328,NA,0.13216652519198188,NA,0.0644885552753527,0.0808144109640139,0.10959961215791701,0.1883585254365991,NA,NA,NA,NA,NA,0.14654674072129167,NA,NA,NA,0.10841703619174972,NA,NA,NA,NA
L480-20190805-A-11-P2,yellow biofilm,NA,NA,0.24445781606763067,0.24260047821558717,0.21439612341845982,0.10603631507485406,0.271874472365511,NA,NA,NA,0.25606022222879926,NA,-0.012581464853015043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B140-20190808-B-07-P2,polyp/coralloid,NA,0.21942183304612375,0.2509358480881723,0.25069122310278125,0.1715776907903761,NA,0.27093803307279807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L780-20190802-A-02-P2,yellow biofilm,NA,NA,0.2579212504487844,0.26338454178918524,0.11930042539383703,0.009092339382832142,0.24428133398314225,0.18156717630222627,NA,NA,0.31398913543597196,NA,NA,NA,NA,NA,0.02746353796384504,NA,NA,-0.004277215574992405,NA,NA,NA,-0.029589875295612113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20190806-G-01-P2,surface soil,0.1748053198489359,0.049565338732486676,0.12234474334577122,0.12329606273340322,0.16660374533226896,0.14362711707479553,NA,NA,0.09451082073512035,0.035333312421829084,NA,NA,0.0785603929766543,0.021823124134901638,0.043702340634860046,NA,0.11546818764753394,0.13785848541050538,0.11529174725171382,0.13051342173132066,NA,0.11330679715161143,NA,0.09036140268856876,0.09984985890129779,0.15720448124532543,0.20224485232507664,0.15797049319275933,NA,0.15279994926657148,0.07942823007542989,NA,0.09964140036563326,NA,NA,NA,NA,NA,NA,0.04890652882174375,NA
V460-20190803-F-01-P2,surface soil,0.1899265415153466,0.06835495837860654,0.14436099203096872,0.13149552983632656,0.042125868506784035,0.13402332135203443,NA,NA,0.1488879412178049,0.053116567339757774,0.11833180205985322,0.14607420665308665,0.07207622148888669,0.03226480998051183,0.033092864416602336,NA,0.12478861417425474,0.06802549437588032,0.061876690080329526,0.07756026656033081,NA,0.11203914618564843,NA,0.0866861268663883,0.05237449136613933,0.086800839264218,0.16755684483730418,NA,0.021142188072315615,0.12684464374196025,0.036121036520621576,NA,0.09334041001565291,NA,NA,0.03861695926271494,0.10774358606076814,0.0748867209428981,NA,NA,NA
L780-20190805-E-07-P2,surface soil,0.10132858141286649,0.03847386776943139,NA,0.05115887259696601,0.06492129307137545,0.038782660373106057,NA,NA,NA,NA,NA,NA,NA,-0.0014969417467379361,-0.027411048636792296,NA,0.028301224103113892,0.03971457454984349,0.05279769570505199,0.08436192837636022,0.07859989153934982,NA,NA,NA,NA,NA,NA,NA,NA,-0.05311875941042928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20190806-C-01-P2,cave soil,0.12310554531194774,0.17269145334986613,NA,NA,0.17665139419108006,0.12344998996084157,NA,NA,NA,NA,NA,NA,NA,0.21433184962613747,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.005048517386213301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B140-20190808-C-02-P2,surface soil,0.19344853729266856,0.03569423143369416,NA,0.0749146767338334,0.15764322271924006,0.1120161328514811,NA,NA,0.04975265920088582,0.006567352012664375,0.12266370284282033,NA,0.06964123725930299,0.01273515728396851,0.04901160883631095,NA,0.0829561322974756,0.11074857934651881,0.1090948271558093,0.11704871892431681,NA,0.09711916790999749,NA,0.05305233720831956,0.10352829386680815,0.1435031185369959,0.2158252721459175,0.16522562480038053,NA,0.151762098037319,0.07449380127446835,0.09198406460334456,0.11412727658387514,NA,0.09271550026119142,NA,0.12737511864609605,NA,NA,NA,NA
B140-20190808-B-08-P2,mixed biofilm,NA,NA,0.2431169087403018,0.2364395526575897,NA,NA,0.2524365383090022,0.2259071222300064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L490-20190807-B-05-P2,ooze,NA,NA,NA,NA,NA,-0.03570121349766838,NA,NA,NA,NA,NA,NA,0.034038907362833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V460-20190804-C-03-P2,yellow biofilm,NA,NA,0.25874572725139877,0.23503522403775184,NA,0.01741864907077315,0.24509958190881387,0.23618067951899374,NA,NA,0.24230757721676907,NA,0.09598964845482356,NA,NA,NA,0.009743783813729073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
