sample,batch,"Nonanedioic acid, monomethylester_1","Nonanedioic acid, monomethylester_2",n-C12:0,i-C14:0,n-C14:0,m-C15:0_1,m-C15:0_2,i-C15:0,ai-C15:0,n-C15:0,m-C16:0_1,C16:1 w7 (trans),i-C16:0,C16:2,C16:1 w7 (c) + C16:1 w9,C16:1 w7 (cis),C16:1 w5,n-C16:0,diacid_unknown1,10_14_DiMe_C17,C17:1 w8 (t) + 12Me-C17:0,10Me_C17:0,m-C17:0 eh,C17:1 w8 (trans),C17:1 w8 (cis),C17_cyclic,m-C17:0_2,i-C17:0,ai-C17:0,i-C18:0,ai-C18:0,m-C18:0_1,m-C18:0_2,C18:1 w9,C18:2_1,C18:2_2,C18:1 w7,unknown2,C18:1_1,n-C18:0,i-C19:0,m-C19:0_1 + i-C19:0,m-C19:0,C19:1_3,m-C20:0_1,n-C19:0 + m-C20:0_3,m-C20:0_3,diacid_unknown3,C16-diacid,C20:1_1,n-C20:0,m-C22:0-C2,m-C23:0-C2,n-C21:0,m-C23:0-C2 + n-C21:0,C18-diacid,n-C22:0,n-C23:0,C20-diacid,m-C27:0-C2,n-C24:0,n-C25:0,diacid_unknown7,C22-diacid,n-C26:0,sterol6,n-C28:0
YEL-20180802-A-02-P2,2,,,,,,,,-30.411,,,,-31.275,-31.677,,,-26.46,,,,-30.705,,,,-30.412,,,,,-29.413,-33.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEL-20180802-A-02-P2,2,,,,,,,,-30.381,,,,-31.141,-31.545,,,-25.956,,,,-30.495,,,,-30.181,,,,,-28.576,-32.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAL-20190811-F-01-P2,3,-23.042,-21.469,,,-25.55,,,-14.642,-12.726,-22.741,,-18.344,-18.897,,,-15.62,,-23.194,,,,,,,,,,,,,,,,-17.914,-21.009,,-16.476,,,-21.895,,,,,,,,,,,-18.153,,,-20.442,,,-18.649,,,,-19.494,,,,,,
VAL-20190811-F-01-P2,3,-22.425,-21.496,,,-25.606,,,-13.825,-13.415,-22.901,,-18.408,-18.895,,,-15.842,,-23.388,,,,,,,,,,,,,,,,-18.25,-20.773,,-16.447,,,-22.135,,,,,,,,,,,-21.739,,,-18.246,,,-18.695,,,,-19.451,,,,,,
HOP-20190805-F-01-P2,3,,,-24.1,-13.237,-23.342,,,-15.544,-14.526,-13.193,-19.288,-20.451,-19.185,,-20.372,,-17.122,-23.153,,,-17.16,,,,-23.283,-19.496,,-17.76,-16.145,-21.654,-20.063,,-17.078,-17.883,,-19.676,-18.494,,,-21.39,,-15.977,,-23.497,,-20.994,,,-18.867,-19.517,-22.061,-16.887,-22.104,-20.634,,-26.244,-20.637,-22.958,-19.107,,-21.487,-25.226,,,-20.849,,
HOP-20190805-F-01-P2,3,,,-24.412,-17.522,-23.734,,,-16.594,-15.711,-13.316,-18.909,-19.862,-19.249,,-20.489,,-17.381,-23.849,,,-18.018,,,,-24.155,-19.103,,-17.706,-16.211,-20.503,-20.002,,-17.277,-18.3,,-20.423,-18.242,,,-23.333,,-13.016,,-24.046,,-20.876,,,-19.13,-18.99,-22.164,-17.312,-22.025,-18.43,,-20.099,-21.494,-21.629,-21.167,,-21.75,-23.005,,,-23.194,,
SIL-20190808-E-01-P2,3,,,,,-24.155,-15.132,,-15.481,-14.724,-21.809,,-19.446,-18.962,,-18.311,,-17.044,-20.932,,,-16.701,,,,-24.908,-17.318,,-16.409,-15.003,-19.909,,,-17.085,-16.791,-19.317,,-17.283,,,-19.374,,-15.898,,-20.434,,,,,-18.761,,-20.94,,-18.925,,,,-20.759,-22.473,-21.8,,-22.174,-23.752,,,-23.808,,
SIL-20190808-E-01-P2,3,,,,,-23.513,-16.372,,-15.198,-14.576,,-22.014,-18.845,-19.112,,-18.183,,-17.159,-20.974,,,-16.649,,,,-24.49,-16.604,,-16.964,-15.557,-18.89,-19.263,,-18.022,-16.703,-18.839,,-17.375,,,-19.752,,-15.223,,-21.43,,,,,-19.368,-17.919,-21.04,,-21.093,-19.475,,,-21.061,-20.667,-20.614,,-22.121,-24.895,,,-23.185,,
SIL-20190808-B-03-P2,3,,,,,,,,,,,,,,,,-19.503,-19.442,-19.831,,,,,,,,,,,,,,,,-17.127,-20.499,,-18.865,,,-19.731,,,,,,,,,-17.718,,-19.76,,,,,,-18.757,,,,-21.536,,,,,,
SIL-20190808-B-03-P2,3,,,,,,,,,,,,,,,,,-19.064,-19.405,,,,,,,,,,,,,,,,-18.199,,,-20.92,,,-20.416,,,,,,,,,,,,,,,,,-18.623,,,,-21.416,,,,,,
