sample_name,cave,tn_pct,toc_pct,d15N_tn,d13C_toc,toc_mg,tn_mg,sample_color,sample_class,sample_class2,sample_location,field_season,sample_date,extraction_date,sample_g,tle_g,drip_doc_ppm_1,drip_doc_ppm_2,drip_doc_ppm_sd,drip_doc_ppm_avg,drip_doc_d13C_1,drip_doc_d13C_2,drip_doc_d13C_sd,drip_doc_d13C_avg,drip_dic_mM,drip_dic_d13C,sample_description
B140-20190808-B-07,B140,0.17882,2.4248,6.58796,-24.58028,1.6537136,0.12195524,NA,polyp/coralloid,polyp/coralloid,cave,2019,8/8/18,9-Jan-20,5.2953,0.00162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polyps
B140-20190808-B-08,B140,0.08355,0.86615,-4.68526,-33.64154,1.35206015,0.13042155,mixed,cave biofilm,mixed biofilm,cave,2019,8/8/18,9-Jan-20,12.48241,9.60E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow+white biofilm
B140-20190808-C-02,B140,NA,1.38287,NA,-25.10066,2.62192152,NA,tan,surface soil,surface soil,surface,2019,8/8/18,24-Jun-20,16.53483,0.00612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Surface Soil
L300-20171027-A-08,L300,NA,NA,NA,NA,NA,NA,white,cave biofilm,white biofilm,cave,2017,10/27/17,2017,11.368,0.0025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,White biofilm
L300-20171027-A-09,L300,NA,NA,NA,NA,NA,NA,yellow,cave biofilm,yellow biofilm,cave,2017,10/27/17,2017,13.4691,0.0051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow biofilm
L300-20171027-B-20,L300,NA,NA,NA,NA,NA,NA,black,polyp/coralloid,polyp/coralloid,cave,2017,10/27/17,2017,9.8476,0.0081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown polyps
L300-20171111-C-48,L300,NA,NA,NA,NA,NA,NA,yellow,cave biofilm,yellow biofilm,cave,2017,11/11/17,2017,10.8353,0.0022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow biofilm
L300-20171111-D-20,L300,NA,NA,NA,NA,NA,NA,black,polyp/coralloid,polyp/coralloid,cave,2017,11/11/17,2017,12.9024,0.0011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown polyps
L300-20171111-E-41,L300,NA,NA,NA,NA,NA,NA,black,polyp/coralloid,polyp/coralloid,cave,2017,11/11/17,2017,1.9112,0.0045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black polyps
L300-20171111-H-69,L300,NA,NA,NA,NA,NA,NA,black,polyp/coralloid,polyp/coralloid,cave,2017,11/11/17,2017,5.8313,0.0022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brown polyps
L300-20180802-A-02,L300,0.021741904,0.185059606,NA,-30.3023697,NA,NA,tan,cave biofilm,tan biofilm,cave,2018,8/2/18,4-Nov-18,33.56368,0.00672,6.136671885,6.357358813,0.156049223,6.247015349,-29.03035863,-28.17520572,0.604684422,-28.60278218,0.761325213,-2.512760738,Tan microbial biofilm
L300-20180802-B-02,L300,0.074442827,0.826889948,2.343894509,-24.13731326,NA,NA,black,polyp/coralloid,polyp/coralloid,cave,2018,8/2/18,3-Dec-18,23.3381,0.0017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black coralloid
L300-20190804-B-01,L300,NA,0.17127,NA,-32.32031,0.30057885,NA,white,cave biofilm,white biofilm,cave,2019,8/4/18,24-Jun-20,23.27514,6.20E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,White biofilm
L300-20190804-D-01,L300,NA,NA,NA,NA,NA,NA,tan,ooze,ooze,cave,2019,8/4/18,24-Jun-20,0.07215,9.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tan wall ooze
L300-20190804-F-01,L300,0.3153,7.23246,4.40064,-26.38062,19.70122104,0.8588772,tan,surface soil,surface soil,surface,2019,8/4/19,15-Jun-20,11.7254,0.0148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Surface soil
L480-20171108-A-16,L480,NA,NA,NA,NA,NA,NA,brown,cave soil,cave soil,cave,2017,11/8/17,2017,36.153,9.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pool sludge
L480-20171108-B-05,L480,NA,NA,NA,NA,NA,NA,white,mineral,mineral,cave,2017,11/8/17,2017,17.0285,8.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,White crust
L480-20171108-C-21,L480,NA,NA,NA,NA,NA,NA,white,mineral,mineral,cave,2017,11/12/17,2017,26.428,8.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wet calcite
L480-20171108-C-26,L480,NA,NA,NA,NA,NA,NA,black,polyp/coralloid,polyp/coralloid,cave,2017,11/12/17,2017,14.3852,0.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black polyps
L480-20171108-D-51,L480,NA,NA,NA,NA,NA,NA,yellow,cave biofilm,yellow biofilm,cave,2017,11/12/17,2017,23.4619,0.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow biofilm
L480-20171108-D-61,L480,NA,NA,NA,NA,NA,NA,tan,cave biofilm,tan biofilm,cave,2017,11/12/17,2017,14.7324,0.0019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tan biofilm
L480-20171108-D-80,L480,NA,NA,NA,NA,NA,NA,white,cave biofilm,white biofilm,cave,2017,11/12/17,2017,19.8759,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,White biofilm
L480-20171113-E-03,L480,NA,NA,NA,NA,NA,NA,brown,cave soil,cave soil,cave,2017,11/13/17,2017,27.1399,0.0149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cave soil
L480-20190805-A-03,L480,NA,0.65407,NA,-24.48374,0.85748577,NA,black,polyp/coralloid,polyp/coralloid,cave,2019,8/5/19,4-Sep-19,6.4991,1.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black polyps
L480-20190805-A-11,L480,NA,0.19088,NA,-31.59687,0.2586424,NA,yellow,cave biofilm,yellow biofilm,cave,2019,8/5/19,4-Sep-19,9.9831,9.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow biofilm
L480-20190805-B-03,L480,0.49276,5.30106,0.15628,-32.86392,1.5373074,0.1429004,tan,ooze,ooze,cave,2019,8/5/19,9-Jan-20,0.20521,5.60E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tan ooze
L480-20190805-F-01,L480,0.16238,3.7726,4.51988,-25.65852,4.2026764,0.18089132,tan,surface soil,surface soil,surface,2019,8/5/19,4-Sep-19,7.2955,0.0083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Surface soil
L480-20190811-E-01,L480,0.63448,11.32674,3.42272,-21.07154,25.05474888,1.40346976,tan,surface soil,surface soil,surface,2019,8/11/19,29-Jan-20,9.0926,0.0245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Surface Soil
L490-20180729-A-56,L490,0.026630519,0.349289852,NA,-26.24,NA,NA,black,polyp/coralloid,polyp/coralloid,cave,2018,7/29/18,8-Nov-18,6.405,0.0028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black polyps
L490-20180729-B-01,L490,0.032194438,0.21636288,NA,-34.8,NA,NA,yellow,cave biofilm,yellow biofilm,cave,2018,7/29/18,29-Oct-18,26.22469,0.0012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow microbial biofilm
L490-20180729-C-08,L490,0.067622692,0.779611679,7.4,-23.81,NA,NA,brown,polyp/coralloid,polyp/coralloid,cave,2018,7/29/18,10-Dec-18,10.6303,0.001,9.662554209,9.917958746,0.18059828,9.790256478,-29.0832327,-29.65656531,0.405407376,-29.36989901,0.475513825,-4.944859002,Floor polyps (brown)
L490-20180729-D-69,L490,0.00929686,0.147764569,NA,-27.95227584,NA,NA,white,cave biofilm,white biofilm,cave,2018,7/29/18,29-Oct-18,22.31024,0.01763,18.21755799,18.12786404,0.0634232,18.17271102,-32.39155447,-32.67156706,0.197998801,-32.53156077,0.246596941,-7.523664111,White microbial biofilm
L490-20180729-E-01,L490,0.036078497,0.41001394,NA,-31.03361149,NA,NA,tan,cave biofilm,tan biofilm,cave,2018,7/29/18,3-Dec-18,21.3969,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tan microbial biofilm
L490-20180729-F-81,L490,0.054972712,0.29952536,NA,-33.64170719,NA,NA,tan,cave biofilm,tan biofilm,cave,2018,7/29/18,3-Dec-18,11.3528,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tan microbial biofilm
L490-20180729-G-11,L490,3.332132361,21.46423907,-5.93,-37.27,NA,NA,yellow,cave biofilm,yellow biofilm,cave,2018,7/29/18,4-Nov-18,22.94575,0.00295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow microbial biofilm
